"Participant_ID","Day","Activity","Details","TotalRows"
"T005","Day1","Application","Acrobat",2
"T005","Day1","Application","ApplicationFrameHost",4
"T005","Day1","Application","chrome",33
"T005","Day1","Application","devenv",1
"T005","Day1","Application","EXCEL",2
"T005","Day1","Application","explorer",131
"T005","Day1","Application","Idle",30
"T005","Day1","Application","LockApp",7
"T005","Day1","Application","MendeleyDesktop",18
"T005","Day1","Application","MonitorTool",1
"T005","Day1","Application","OpenWith",1
"T005","Day1","Application","POWERPNT",24
"T005","Day1","Application","S-Interface",2
"T005","Day1","Application","SearchUI",5
"T005","Day1","Application","ShellExperienceHost",5
"T005","Day1","Application","WINWORD",132
"T005","Day1","KeyPress","",4017
"T005","Day1","MouseClick","Left",1306
"T005","Day1","MouseClick","Right",46
"T005","Day1","MouseMove","",182130
"T005","Day2","Application","ApplicationFrameHost",1
"T005","Day2","Application","chrome",20
"T005","Day2","Application","devenv",2
"T005","Day2","Application","explorer",89
"T005","Day2","Application","Idle",17
"T005","Day2","Application","LockApp",5
"T005","Day2","Application","MendeleyDesktop",21
"T005","Day2","Application","MonitorTool",1
"T005","Day2","Application","POWERPNT",11
"T005","Day2","Application","SearchUI",3
"T005","Day2","Application","ShellExperienceHost",2
"T005","Day2","Application","WINWORD",104
"T005","Day2","KeyPress","",4571
"T005","Day2","MouseClick","Left",1290
"T005","Day2","MouseClick","Right",19
"T005","Day2","MouseMove","",177570
"T005","Day3","Application","Acrobat",11
"T005","Day3","Application","chrome",16
"T005","Day3","Application","devenv",3
"T005","Day3","Application","EXCEL",10
"T005","Day3","Application","explorer",17
"T005","Day3","Application","Idle",11
"T005","Day3","Application","LockApp",5
"T005","Day3","Application","MonitorTool",1
"T005","Day3","Application","ShellExperienceHost",2
"T005","Day3","KeyPress","",1007
"T005","Day3","MouseClick","Left",733
"T005","Day3","MouseClick","Right",17
"T005","Day3","MouseMove","",106399
"T005","Day4","Application","chrome",11
"T005","Day4","Application","devenv",1
"T005","Day4","Application","EXCEL",45
"T005","Day4","Application","explorer",47
"T005","Day4","Application","Idle",12
"T005","Day4","Application","LockApp",1
"T005","Day4","Application","MonitorTool",1
"T005","Day4","Application","SearchUI",5
"T005","Day4","KeyPress","",2020
"T005","Day4","MouseClick","Left",1001
"T005","Day4","MouseClick","Right",14
"T005","Day4","MouseMove","",104791
"T005","Day5","Application","Acrobat",17
"T005","Day5","Application","chrome",12
"T005","Day5","Application","devenv",2
"T005","Day5","Application","EXCEL",18
"T005","Day5","Application","explorer",27
"T005","Day5","Application","Idle",9
"T005","Day5","Application","LockApp",3
"T005","Day5","Application","MonitorTool",1
"T005","Day5","Application","POWERPNT",1
"T005","Day5","Application","ShellExperienceHost",1
"T005","Day5","Application","WINWORD",1
"T005","Day5","KeyPress","",721
"T005","Day5","MouseClick","Left",736
"T005","Day5","MouseClick","Right",16
"T005","Day5","MouseMove","",81497
