"","Participant_ID","Day","R","W","Out","SA","SP","I","Mental","Physically","Hurried","Successful","Hard","Insecure","StartDay","EndDay"
"1","T001","Day1",34.45,23.3,7.34,0,0.78,25.36,11,1,4,6,8,2,33,36
"2","T001","Day2",3.08,35.96,12.72,0,0,31.08,10,3,4,7,8,1,35,34
"3","T001","Day3",34.78,7.87,8.94,0,0,41.46,1,1,1,10,2,1,26,24
"4","T001","Day4",6.61,67.55,10.8,0,0,0,7,3,4,8,7,5,24,27
"5","T003","Day1",0,100,0,0,0,0,18,15,18,12,18,17,52,52
"6","T003","Day2",0,100,0,0,0,0,19,18,20,19,20,18,53,40
"7","T003","Day3",0,93.61,4.32,0,2.07,0,6,10,3,18,5,3,25,23
"8","T003","Day4",0,27.95,68.51,0,3.54,0,10,7,6,20,5,3,25,26
"9","T005","Day1",24.28,2.69,33.64,0,6.69,0,14,5,12,12,15,5,25,33
"10","T005","Day2",30.85,36.06,19.67,0,9.34,0,17,12,15,17,15,5,35,32
"11","T005","Day3",43.76,0.57,34.85,0,7.91,0,8,8,8,15,10,0,20,21
"12","T005","Day4",63.03,0,18.2,0,12.47,0,10,10,8,12,12,0,21,20
"13","T007","Day1",65.96,19.86,5.8,2.15,3.18,0.55,15,2,10,17,18,15,50,45
"14","T007","Day2",8.24,49.2,3.16,0,0.89,0,17,1,17,16,18,16,44,58
"15","T007","Day3",18.98,48.2,4.58,0,10.75,5.5,10,0,2,18,10,1,32,31
"16","T007","Day4",13.31,21.67,5.12,5.33,3.08,0,5,0,4,18,10,1,32,31
"17","T009","Day1",33.05,4.66,15.68,0.78,0.37,0,15,10,20,15,15,15,59,56
"18","T009","Day2",52.8,9.29,22.96,0,1.16,0,20,15,15,18,15,18,57,43
"19","T009","Day3",61.8,0,23.19,0.83,4.52,0,10,10,5,15,10,3,37,35
"20","T009","Day4",63.95,0,18.51,0,3.33,0,15,10,5,15,10,3,36,33
"21","T011","Day1",29.08,34.57,17.54,0,0,0,7,0,0,20,7,0,26,30
"22","T011","Day2",16.34,39.24,18.66,0,4,0,3,0,0,20,0,0,45,30
"23","T011","Day3",49.44,17.36,11.11,0,0,0,17,5,12,12,17,0,36,31
"24","T011","Day4",25.93,46.38,13.11,0,0,0,15,5,7,15,15,0,30,22
"25","T013","Day1",44.04,37,0,0,2.92,0,18,0,14,17,18,14,52,56
"26","T013","Day2",40.9,16.52,1.94,0,0,0,18,1,15,17,15,17,43,37
"27","T013","Day3",66.46,23.96,1.72,0,0,0,14,4,5,15,10,14,31,38
"28","T013","Day4",86.49,13.51,0,0,0,0,14,4,10,18,10,5,36,37
"29","T015","Day1",31.88,11.83,43.69,0,6.39,0,15,0,10,15,15,5,38,38
"30","T015","Day2",71.6,3.02,6.63,0,4.29,2.57,15,5,10,13,15,15,40,63
"31","T015","Day3",51.51,6.17,12.78,0,13.97,6.59,7,0,3,7,7,10,23,43
"32","T015","Day4",74.5,9.28,0,0,15.1,0,7,0,5,7,10,3,31,38
"33","T017","Day1",74.83,5.09,15.07,0.92,0,0,10,0,10,18,10,5,35,31
"34","T017","Day2",60.31,20.95,11.71,0,0,0,15,2,10,20,10,5,28,52
"35","T017","Day3",52.18,16.95,3.56,0,0,12.24,5,0,10,15,15,5,24,24
"36","T017","Day4",85.9,9.26,1.03,0,0,0,15,5,15,10,15,8,28,42
